source,year,abstract,label
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"acar merupakan salah satu komuditi agrobisnis pertanian atau perkebunan di Indonesia yang banyak diminati oleh petani, karena makanan di Indonesia pada umumnya banyak menggunakan Cabai, sehingga mereka dapat menggantikan peran seorang ahli dalam mencari solusi dan membuat panen menjadi gagal. Sistem pakar diperlukan untuk membantu mendiagnosa gangguan pada tanaman Cabai, dengan tujuan untuk mengadopsi kemampuan yang mirip dengan pakar dalam berpikir atau bernalar dengan ketelitian dan informasi yang tepat dan akurat. untuk orang yang tidak memiliki pengetahuan tentang bagaimana menangani masalah ini dengan baik dan memberikan kepada orang yang lebih mudah bagi orang yang sederhana untuk mengembangkan sistem pakar dalam hal-hal yang lebih lanjut dari petani, untuk itu. (Ca) , yang telah berkembang sebagai bahan baku, dan sebagai petani, sebagai petani , untuk membuat keputusan.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2016,"Cipta Karya, data barang disimpan dalam bentuk tumpukan faktur pembelian yang memungkinkan terjadinya kehilangan data barang, perhitungan setiap transaksi masih menggunakan perhitungan manual sehingga memungkinkan terjadi kesalahan terhadap jumlah total harga, pengendalian persediaan barang belum terkontrol dengan baik, serta pembuatan laporan yang dilakukan pada TB. , yaitu dengan mencatat seluruh transaksi yang telah dilakukan. Laporan yang dibuat oleh penelitian ini adalah dengan mencatat semua transaksi yang dilakukan. dan membuat laporan yang dibuat pada TB Cipta Karya. Dengan catatan keseluruhan transaksi yang sudah dilakukan. - Laporan yang dilakukan dengan mencatat transaksi yang sedang dibuat Laporan yang sesuai dengan tujuan dari suatu aplikasi yang lain yang dapat dibuat untuk tujuan yang telah dibuat pada database yang telah digunakan sebagai berikut: 1 2 ( 1). 3 , , dan , yang telah menjadi lebih baik, dan tidak dapat dibuat oleh , serta membuat laporan tersebut.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,(Technique for Others Preference By Similarity to Ideal Solution (TOPSIS) adalah jawaban atas kesulitan yang dihadapi oleh Kantor Kecamatan Tembakan Kabupaten Inhil dengan menentukan kriteria dan alternatif yang menjadi acuan untuk menentukan nilai keputusan dan melakukan perhitungan matrik untuk mencapai tujuan yang tepat pada keputusan penetapan pegawai teladan di Kantor Kec.,ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"( 1 ) Metode penelitian yang digunakan oleh penulis adalah metode deskriptif, sebagai upaya untuk mendapatkan gambaran tentang metode pengumpulan data, penulis menggunakan alat bantu desain yaitu bagan alir dokumen, bagan konteks, diagram alir data (DFD), untuk merancang basis data digunakan metode normalisasi, relasi tabel, dan diagram hubungan entitas (ERD). Impelementasi dan rancangan program menggunakan Visual basic 6. 0 dan database Microsoft Access. - Sistem informasi, sehingga membantu mencapai hasil yang optimal. ) (b) , dan (2) ( ), dan pemrograman (a) ` (l () ). aplikasi (D) /sistem informasi (C) : (d). 3 ( ERD) END (E).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"(2) Penelitian ini mengembangkan sistem pendukung keputusan (SPK) dengan menggunakan metode Analytical Hierarchy Process (AHP) sebagai proses dalam seleksi penerimaan siswa baru, digunakan beberapa kriteria untuk menentukan calon siswa baru yang mana yang akan diterima, SPK ini membantu sekolah dalam menentukan siswa mana yang harus diterima, dan AHP digunakan sebagai metode dalam perhitungannya.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"Untuk menentukan atau melihat minat beli konsumen atau masyarakat terhadap air minum isi ulang di Tembilahan, metode yang digunakan dalam penelitian ini menggunakan metode AHP (Analitycal Hierarchy Process) sebagai alat bantu dalam pengambilan keputusan, SPK ini lebih menekankan bagaimana merancang dan menentukan minat beli masyarakat tersebut serta implementasi program yang dimaksudkan untuk memudahkan proses perhitungan. , dengan maksud untuk meningkatkan proses pengambilan keputusannya sendiri, dan untuk menyederhanakan proses perhitungannya sendiri. (Teks dengan relevansi EEA) (AHP). Keputusan Sistem Pendukung Keputusan (S). Masyarakat yang sesuai dengan tujuan tersebut (C).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2017,"Ini hanya menampilkan informasi tentang aturan simulasi perpustakaan secara umum, tetapi anggota perpustakaan tidak dapat melihat dan melakukan proses meminjam koleksi buku secara online, aplikasi ini hanya menyajikan informasi tentang Aturan Simulasi Perpustakaan Umum, dibandingkan dengan Sistem Desktop, Sistem Web Base tidak memiliki batasan waktu dan tempat untuk mengaksesnya. Oleh karena itu, penelitian ini hanya bertujuan untuk menganalisis dan merancang model sistem perpustakaan yang sesuai dengan misi perpustakaan UNISI. , sehingga tujuan ini dapat dicapai dengan membangun infrastruktur yang mendukung akses internet. (Teks dengan relevansi EEA), oleh karena itu diperlukan. - desain sistem perpustakaan, dan ruang lingkup yang relevansi (a). dari perpustakaan , dan mengakses perpustakaan, , dll , sebagai berikut: , ( ).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2016,"Integra Enviro Energy, sistem informasi yang beroperasi di bidang pengolahan data, khususnya di bagian pelaporan dan penggunaan dana operasional, masih menggunakan sistem komputerisasi sederhana, yang berarti bahwa setiap pekerjaan yang berkaitan dengan pemrosesan datanya, khususnya penggunaan Microsoft Office Excel dan word, memungkinkan banyak kesalahan dalam pemrosesan data penggunaan keuangan operasional yang ada di lingkungan PT. , dapat berkontribusi untuk membantu pihak perusahaan dalam melakukan kegiatan operasional perusahaan. ( 1 ) , dana yang digunakan dalam operasi perusahaan, dapat mengurangi tingkat kesalahan tersebut, sehingga dapat memberikan layanan yang lebih lama untuk mengatasi masalah ini, untuk membantu dalam hal ini, yang terkait dengan tujuan untuk tujuan untuk membantu perusahaan, untuk tujuan. aplikasi, untuk menyediakan layanan yang relevansi yang diperlukan untuk membantu proses yang bersangkutan, yang ada. - ( , dll , , yang akan menjadi lebih lanjut, dan waktu yang ada, yang disediakan oleh mereka.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"( 1 ) Tujuan dari penelitian ini adalah untuk memberikan solusi berbasis teknologi informasi berupa sistem pendukung keputusan yang dapat memberikan alternatif terbaik dalam memilih lokasi toko buku yang strategis, serta penggunaan metode AHP dalam mempertimbangkan lokasi yang strategis dapat menghasilkan alternatif lokasi yang sesuai dengan harapan dan kemampuan pelaku usaha, dan perhitungan yang dilakukan diharapkan dapat menghasilkan keputusan yang cepat dan objektif. Keputusan yang dihasilkan dalam penentuan lokasi usaha toko buku, yang hanya mengandalkan intuisi dan pengalaman saja dapat menjadi lambat dan tidak objektif. keputusan yang dibuat dalam menentukan lokasi bisnis toko buku. , yang akan menghasilkan suatu keputusan yang tepat waktu yang tepat dan keputusan yang akurat dan kesimpulan yang tepat Waktu yang tepat yang tepat, yang tepat. pendekatan yang relevansi yang tepat untuk keputusan yang efisien. - lokasi yang tepat-lokasi yang tepat sasaran yang strategis - strategi yang tepat pada lokasi yang efektif. tempat yang tepat - lokasi strategis - lokasi , dll , sebagai langkah-keputusan yang tepat , keputusan.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"(2) Dalam penelitian ini, berbagai jenis sistem yang digunakan sangat memungkinkan untuk menciptakan berbagai kesulitan dalam pengumpulan data kenaikan gaji berkala yang diperlukan untuk memberikan laporan dan penilaian kegiatan, salah satunya informasi dalam pengolahan data Kenaikan Gaji Berkala masih menggunakan cara manual dengan cara melihat tabel gaji, sehingga proses pengajuan gaji berkala memerlukan waktu yang lama. Oleh karena itu diperlukan aplikasi untuk memberikan solusi pada masalah tersebut. : Sistem Informasi, Pengusulan Kenaikan Ghb Berkala Berbasis Web, sehingga dapat dikembangkan lebih lanjut sesuai dengan perkembangan teknologi informasi yang ada. 4 - ( 1 ) ( 2 ); (1) ( ) ` ` untuk `.",ai
